ethnicity,d
British (White),11354
Irish (White),161
Any other White background,544
White and Black Caribbean (Mixed),33
White and Black African (Mixed),12
White and Asian (Mixed),22
Any other Mixed background,48
Indian (Asian or Asian British),492
Pakistani (Asian or Asian British),332
Bangladeshi (Asian or Asian British),100
Any other Asian background,245
Caribbean (Black or Black British),460
African (Black or Black British),290
Any other Black background,146
Chinese (other ethnic group),57
Any other ethnic group,439
Not stated,1256
No match ,281